HD001,C001,12/01/2023
HD002,C002,25/01/2023
HD003,C003,02/02/2023
HD004,C001,15/02/2023
HD005,C004,20/02/2023
HD006,C005,01/03/2023
HD007,C002,08/03/2023
HD008,C006,10/03/2023
HD009,C007,12/03/2023
HD010,C001,20/03/2023
HD011,C008,28/03/2023
HD012,C009,01/04/2023
HD013,C002,10/04/2023
HD014,C010,12/04/2023
HD015,C011,18/04/2023
HD016,C012,25/04/2023
HD017,C001,30/04/2023
HD018,C003,02/05/2023
HD019,C004,05/05/2023
HD020,C013,10/05/2023
HD021,C014,15/05/2023
HD022,C015,20/05/2023
HD023,C001,25/05/2023
HD024,C016,01/06/2023
HD025,C002,05/06/2023
HD026,C017,10/06/2023
HD027,C003,15/06/2023
HD028,C018,20/06/2023
HD029,C019,25/06/2023
HD030,C001,30/06/2023
HD031,C020,05/07/2023
HD032,C002,10/07/2023
HD033,C021,15/07/2023
HD034,C022,18/07/2023
HD035,C004,22/07/2023
HD036,C023,25/07/2023
HD037,C024,30/07/2023
HD038,C025,02/08/2023   
HD039,C026,05/08/2023
HD040,C003,10/08/2023
HD041,C027,15/08/2023
HD042,C028,20/08/2023
HD043,C029,25/08/2023
HD044,C001,30/08/2023
HD045,C030,02/09/2023
HD046,C002,05/09/2023
HD047,C031,10/09/2023
HD048,C032,15/09/2023
HD049,C033,20/09/2023
HD050,C004,25/09/2023
